VehicleId,brand + Model,MPGe,MPG,HP,drivetrain,cost_vehicle,cost_fuel,cost_maintenance,emit_vehicleprod,emit_batteryprod,emit_fuelprod,emit_fuelcons,Brands,Brandsid
36834,Porsche 911 Carrera 4S Cabriolet Manual,-1,20,443.0,AWD,1186.0,197.0,184.0,39.4,,108.0,442.0,Porsche,38
36835,Porsche 911 Carrera 4S Cabriolet Auto,-1,20,443.0,AWD,1186.0,193.0,184.0,40.1,,106.0,434.0,Porsche,38
36836,Porsche 911 Targa 4,-1,20,379.0,AWD,1047.0,190.0,170.0,40.2,,105.0,427.0,Porsche,38
36837,Porsche 911 Targa 4S Manual,-1,20,443.0,AWD,1186.0,197.0,184.0,39.8,,108.0,442.0,Porsche,38
36838,Porsche 911 Targa 4S Auto,-1,20,443.0,AWD,1186.0,193.0,184.0,40.5,,106.0,434.0,Porsche,38
36839,Mercedes-Benz C300,-1,27,255.0,RWD,365.0,142.0,101.0,38.7,,78.0,319.0,Mercedes-Benz,33
36840,Tesla Model S Performance (19in Wheels),110,-1,778.0,AWD,807.0,35.4,97.3,37.7,50.0,134.0,,Tesla,42
36841,Tesla Model S Performance (21in Wheels),96,-1,778.0,AWD,847.0,40.8,99.9,37.7,50.0,155.0,,Tesla,42
36842,Mercedes-Benz AMG GT Coupe,-1,17,523.0,RWD,1017.0,228.0,167.0,40.3,,126.0,511.0,Mercedes-Benz,33
36843,Mercedes-Benz AMG GT C Coupe,-1,17,550.0,RWD,1324.0,233.0,198.0,41.3,,128.0,522.0,Mercedes-Benz,33
36848,Mercedes-Benz AMG C63 S Convertible,-1,20,503.0,RWD,751.0,194.0,140.0,45.3,,107.0,436.0,Mercedes-Benz,33
36849,Mercedes-Benz AMG C63 Convertible,-1,20,469.0,RWD,685.0,194.0,133.0,45.1,,107.0,436.0,Mercedes-Benz,33
36850,Mercedes-Benz AMG C63 S Coupe,-1,20,503.0,RWD,687.0,192.0,134.0,44.1,,105.0,430.0,Mercedes-Benz,33
36851,Mercedes-Benz AMG C63 Coupe,-1,20,469.0,RWD,620.0,192.0,127.0,43.9,,105.0,430.0,Mercedes-Benz,33
36852,Mercedes-Benz AMG C43 4matic Coupe,-1,22,385.0,AWD,518.0,176.0,117.0,42.9,,96.8,395.0,Mercedes-Benz,33
36853,Mercedes-Benz AMG C43 4matic Convertible,-1,22,385.0,AWD,575.0,176.0,122.0,44.9,,96.8,395.0,Mercedes-Benz,33
36854,Mercedes-Benz S560 Convertible,-1,19,463.0,RWD,1229.0,199.0,188.0,49.4,,110.0,447.0,Mercedes-Benz,33
36856,Mercedes-Benz AMG S63 4matic Plus Convertible,-1,17,603.0,AWD,1627.0,224.0,229.0,49.7,,123.0,502.0,Mercedes-Benz,33
36857,Mercedes-Benz AMG C63,-1,20,469.0,RWD,602.0,192.0,125.0,42.0,,105.0,430.0,Mercedes-Benz,33
36858,Mercedes-Benz AMG C63 S,-1,20,503.0,RWD,669.0,192.0,132.0,42.2,,105.0,430.0,Mercedes-Benz,33
36859,Mercedes-Benz S560 4matic Coupe,-1,19,463.0,AWD,1153.0,199.0,181.0,49.1,,110.0,447.0,Mercedes-Benz,33
36860,Mercedes-Benz AMG S63 4matic Plus Coupe,-1,19,603.0,AWD,1519.0,199.0,218.0,47.8,,110.0,447.0,Mercedes-Benz,33
36861,Mercedes-Benz AMG C43 4matic,-1,21,385.0,AWD,496.0,182.0,114.0,41.6,,100.0,409.0,Mercedes-Benz,33
36863,Mercedes-Benz AMG E63 S 4matic Plus,-1,19,603.0,AWD,943.0,208.0,160.0,47.2,,114.0,466.0,Mercedes-Benz,33
36864,Nissan Maxima,-1,24,300.0,FWD,325.0,164.0,97.0,39.5,,90.2,368.0,Nissan,35
36865,Nissan Sentra,-1,33,149.0,FWD,170.0,90.9,81.4,35.2,,64.7,265.0,Nissan,35
36867,Nissan Sentra SR,-1,31,149.0,FWD,191.0,94.8,83.5,35.5,,67.5,276.0,Nissan,35
36868,Mercedes-Benz AMG E63 S 4matic Plus (SW),-1,19,603.0,AWD,987.0,208.0,164.0,47.2,,114.0,466.0,Mercedes-Benz,33
36869,Ford Ranger 4WD,-1,22,270.0,AWD,252.0,138.0,89.7,44.7,,98.2,400.0,Ford,14
36870,Ford Bronco Sport 4WD 1.5L,-1,26,181.0,AWD,235.0,113.0,88.0,38.7,,80.8,330.0,Ford,14
36871,Ford Bronco Sport 4WD 2.0L,-1,23,250.0,AWD,288.0,130.0,93.3,40.6,,92.3,377.0,Ford,14
36872,Land Rover Evoque,-1,23,246.0,AWD,380.0,170.0,103.0,42.8,,93.7,382.0,Land,25
36873,Land Rover Discovery Sport,-1,21,246.0,AWD,368.0,187.0,101.0,43.3,,103.0,420.0,Land,25
36874,Mercedes-Benz AMG GLC43 4matic,-1,20,385.0,AWD,526.0,190.0,117.0,44.6,,105.0,427.0,Mercedes-Benz,33
36875,Mercedes-Benz AMG GLC43 4matic Coupe,-1,20,385.0,AWD,570.0,197.0,122.0,44.9,,108.0,442.0,Mercedes-Benz,33
36876,Mercedes-Benz AMG GLC63 4matic Plus,-1,18,469.0,AWD,649.0,220.0,130.0,47.5,,121.0,494.0,Mercedes-Benz,33
36878,Mercedes-Benz AMG GLC63 4matic Plus Coupe,-1,18,469.0,AWD,675.0,220.0,132.0,47.8,,121.0,494.0,Mercedes-Benz,33
36879,Mercedes-Benz AMG GLC63 S 4matic Plus Coupe,-1,18,503.0,AWD,742.0,220.0,139.0,47.8,,121.0,494.0,Mercedes-Benz,33
36880,Mercedes-Benz AMG GLE63 S 4matic Plus Coupe,-1,17,603.0,AWD,1018.0,233.0,167.0,54.4,,128.0,522.0,Mercedes-Benz,33
36882,Mercedes-Benz GLE580 4matic,-1,19,483.0,AWD,692.0,204.0,134.0,53.5,,112.0,457.0,Mercedes-Benz,33
36883,Mercedes-Benz GLS580 4matic,-1,18,483.0,AWD,867.0,215.0,152.0,57.4,,118.0,482.0,Mercedes-Benz,33
36884,Mercedes-Benz AMG G63,-1,14,577.0,AWD,1373.0,272.0,203.0,58.1,,149.0,608.0,Mercedes-Benz,33
36885,Volkswagen ID.4 1st,97,-1,201.0,RWD,320.0,40.4,68.9,36.1,41.0,153.0,,Volkswagen,44
36886,Volkswagen ID.4 Pro S,97,-1,201.0,RWD,285.0,40.4,66.5,36.1,41.0,153.0,,Volkswagen,44
36887,BMW M4 Coupe,-1,19,473.0,RWD,630.0,208.0,128.0,41.6,,114.0,466.0,BMW,4
36889,BMW M4 Competition Coupe,-1,19,503.0,RWD,656.0,208.0,131.0,42.0,,114.0,466.0,BMW,4
36890,BMW 228i Gran Coupe,-1,27,228.0,FWD,313.0,141.0,95.9,38.5,,77.6,317.0,BMW,4
36891,BMW M3,-1,19,473.0,RWD,613.0,208.0,126.0,41.7,,114.0,466.0,BMW,4
36892,BMW M3 Competition,-1,19,503.0,RWD,639.0,208.0,129.0,42.1,,114.0,466.0,BMW,4
36893,Mercedes-Benz AMG CLA45 4matic,-1,23,382.0,AWD,486.0,166.0,113.0,40.3,,91.3,372.0,Mercedes-Benz,33
36895,Mitsubishi Mirage Manual,-1,36,76.0,FWD,125.0,82.4,76.9,27.0,,58.7,240.0,Mitsubishi,34
36896,Mitsubishi Mirage Auto,-1,39,76.0,FWD,137.0,76.7,78.1,27.5,,54.6,224.0,Mitsubishi,34
36901,Hyundai Ioniq Blue,-1,59,104.0,FWD,204.0,50.6,84.8,33.7,1.1,36.0,148.0,Hyundai,18
36902,Mercedes-Benz AMG GLA45 4matic,-1,23,382.0,AWD,478.0,170.0,113.0,41.8,,93.7,382.0,Mercedes-Benz,33
36903,Mercedes-Benz AMG GLB35 4matic,-1,23,302.0,AWD,434.0,168.0,108.0,42.0,,92.3,377.0,Mercedes-Benz,33
36909,Mercedes-Benz G550,-1,18,416.0,AWD,1156.0,216.0,181.0,55.7,,119.0,484.0,Mercedes-Benz,33
36911,Porsche 718 Boxster GTS Manual,-1,20,394.0,RWD,780.0,197.0,143.0,36.1,,108.0,442.0,Porsche,38
36912,Porsche 718 Boxster GTS Auto,-1,21,394.0,RWD,813.0,184.0,146.0,36.7,,101.0,413.0,Porsche,38
36913,Porsche 718 Spyder Manual,-1,19,414.0,RWD,854.0,200.0,151.0,36.5,,110.0,449.0,Porsche,38
